DEBUG 2022-02-20 15:03:55,518 - connection Established
DEBUG 2022-02-20 15:04:00,566 - creating table
DEBUG 2022-02-20 15:05:48,991 - Table created
DEBUG 2022-02-20 15:06:16,631 - inserting data
DEBUG 2022-02-20 15:06:45,460 - Data inserted
DEBUG 2022-02-20 15:07:18,893 - inserting data
CRITICAL 2022-02-20 15:07:18,967 - Exception occurred 1146 (42S02): Table 'python.techers' doesn't exist
CRITICAL 2022-02-20 15:07:18,969 - 1146 (42S02): Table 'python.techers' doesn't exist
CRITICAL 2022-02-20 15:07:18,969 - object of type 'NoneType' has no len()
DEBUG 2022-02-20 15:07:30,532 - inserting data
DEBUG 2022-02-20 15:07:46,117 - Data inserted
DEBUG 2022-02-20 15:08:11,991 - inserting data
DEBUG 2022-02-20 15:08:36,211 - Data inserted
DEBUG 2022-02-20 15:09:04,415 - updating data
DEBUG 2022-02-20 15:09:04,418 - Before update
DEBUG 2022-02-20 15:09:31,576 - Data updated
DEBUG 2022-02-20 15:10:00,506 - Deleting Data
DEBUG 2022-02-20 15:10:00,508 - Before Delete
DEBUG 2022-02-20 15:10:11,347 - Data Deleted
DEBUG 2022-02-20 15:10:31,851 - closing connection
